"Incident UID","Incident Date","Agency","CIBRS Unique Offense ID","CIBRS Offense Description","City","Zip Code","Block Address","Domestic Violence Incident","Stolen Vehicles"
"831093","2021 Jan 15 08:00:00 PM","SAN DIEGO","831093-240","Motor Vehicle Theft","SAN DIEGO","92037","VIA ALICANTE VIA MALLORCA","false",
"609121","2021 Jan 06 11:40:00 AM","SAN DIEGO","609121-290","Destruction/Damage/Vandalism of Property","SAN DIEGO","92122","8700  BLOCK  COSTA VERDE BOULEVARD","false",
"610599","2021 Jan 12 09:00:16 PM","SAN DIEGO","610599-290","Destruction/Damage/Vandalism of Property","SAN DIEGO","92037","1000  BLOCK  WALL STREET","false",
"611390","2021 Jan 08 08:00:00 PM","SAN DIEGO","611390-23H","All Other Larceny","SAN DIEGO","92122","3500  BLOCK  LEBON DRIVE","false",
"423640","2021 Jan 14 12:00:00 PM","SAN DIEGO","423640-290","Destruction/Damage/Vandalism of Property","SAN DIEGO","92037","0  BLOCK  ATHENA CRESCENT","false",
"550502","2021 Jan 15 12:00:10 PM","SAN DIEGO","550502-23H","All Other Larceny","SAN DIEGO","92037","3100  BLOCK  VIA ALICANTE","false",
"738651","2021 Jan 22 09:00:00 AM","SAN DIEGO","738651-240","Motor Vehicle Theft","SAN DIEGO","92122","4100  BLOCK  DECORO STREET","false",
"432494","2021 Jan 18 05:00:00 PM","SAN DIEGO","432494-23F","Theft From Motor Vehicle","SAN DIEGO","92122","7500  BLOCK  CHARMANT DRIVE","false",
"620492","2021 Jan 14 08:30:00 AM","SAN DIEGO","620492-23H","All Other Larceny","SAN DIEGO","92122","9100  BLOCK  JUDICIAL DRIVE","false",
"607143","2021 Jan 06 07:50:00 PM","SAN DIEGO","607143-290","Destruction/Damage/Vandalism of Property","SAN DIEGO","92037","3000  BLOCK  VIA ALICANTE","false",
"442905","2021 Jan 24 07:00:00 PM","SAN DIEGO","442905-23F","Theft From Motor Vehicle","SAN DIEGO","92037","9800  BLOCK  GENESEE AVENUE","false",
"547661","2021 Jan 09 03:00:00 PM","SAN DIEGO","547661-240","Motor Vehicle Theft","SAN DIEGO","92121","AUTOPORT MALL / MIRAMAR MALL","false",
"616067","2021 Jan 13 08:00:00 AM","SAN DIEGO","616067-26B","Credit Card/Automatic Teller Fraud","SAN DIEGO","92037","2000  BLOCK  CAMINITO CAPA","false",
"668717","2021 Jan 05 01:00:00 PM","SAN DIEGO","668717-23H","All Other Larceny","SAN DIEGO","92122","4100  BLOCK  LAS PALMAS SQUARE","false",
"442842","2021 Jan 24 02:00:00 PM","SAN DIEGO","442842-23F","Theft From Motor Vehicle","SAN DIEGO","92122","7400  BLOCK  CHARMANT DRIVE","false",
"627581","2021 Jan 10 09:00:00 PM","SAN DIEGO","627581-23H","All Other Larceny","SAN DIEGO","92121","7700  BLOCK  KENAMAR COURT","false",
"433870","2021 Jan 18 11:30:00 PM","SAN DIEGO","433870-240","Motor Vehicle Theft","SAN DIEGO","92122","7500  BLOCK  TOSCANA DRIVE","false","1"
"439736","2021 Jan 19 10:00:00 AM","SAN DIEGO","439736-23F","Theft From Motor Vehicle","SAN DIEGO","92037","9200  BLOCK  REGENTS ROAD","false",
"681670","2021 Jan 21 09:00:00 PM","SAN DIEGO","681670-240","Motor Vehicle Theft","SAN DIEGO","92122","4300  BLOCK  NOBEL DRIVE","false","1"
